,0
294,0.82936794
295,0.82936794
296,0.82936794
297,0.82978934
298,0.8288808
299,0.82978934
300,0.82936794
301,0.8298967
302,0.8285943
303,0.82978934
304,0.8289815
305,0.82936794
306,0.82978934
307,0.82978934
308,0.82978934
309,0.82978934
310,0.82936794
311,0.82936794
312,0.82936794
313,0.82936794
314,0.82936794
315,0.82936794
316,0.82936794
317,0.82936794
318,0.82936794
319,0.82936794
320,0.82936794
321,0.82936794
322,0.82936794
323,0.82936794
324,0.82936794
325,0.82978934
326,0.82936794
327,0.82978934
328,0.82936794
329,0.82936794
330,0.82936794
331,0.8298967
332,0.82906866
333,0.8298967
334,0.82978934
335,0.8288808
336,0.82978934
337,0.82978934
338,0.82978934
339,0.82936794
340,0.82978934
341,0.82978934
342,0.82978934
343,0.8289815
344,0.82978934
345,0.82936794
346,0.82978934
347,0.82936794
348,0.82936794
349,0.82936794
350,0.82936794
351,0.82978934
352,0.82978934
353,0.82936794
354,0.82978934
355,0.8073958
356,0.80239356
357,0.80498517
358,0.80157894
359,0.8181561
360,0.82978934
361,0.82978934
362,0.82936794
363,0.82936794
364,0.82936794
365,0.82936794
366,0.82978934
367,0.82978934
368,0.82936794
369,0.82978934
370,0.82978934
371,0.82978934
372,0.82978934
373,0.82936794
374,0.82978934
375,0.82978934
376,0.82936794
377,0.82936794
378,0.82936794
379,0.82936794
380,0.82978934
381,0.82936794
382,0.82936794
383,0.82936794
384,0.82936794
385,0.82936794
386,0.82936794
387,0.8285943
388,0.82978934
389,0.82978934
390,0.82936794
391,0.82978934
392,0.8289815
393,0.82906866
394,0.8289815
395,0.82978934
396,0.82978934
397,0.82978934
398,0.82978934
399,0.8298967
400,0.82978934
401,0.82978934
402,0.82978934
403,0.82936794
404,0.82936794
405,0.8285943
406,0.82978934
407,0.82936794
408,0.82978934
409,0.82936794
410,0.82936794
411,0.82936794
412,0.82936794
413,0.82978934
414,0.82936794
415,0.82936794
416,0.82936794
417,0.82936794
418,0.82936794
419,0.82978934
420,0.82936794
421,0.82978934
422,0.82936794
423,0.82978934
424,0.82936794
425,0.82978934
426,0.82978934
427,0.82978934
428,0.82936794
429,0.82936794
430,0.82936794
431,0.82936794
432,0.8289815
433,0.82936794
434,0.82978934
435,0.82978934
436,0.82978934
437,0.82978934
438,0.82978934
439,0.82891995
440,0.82978934
441,0.82978934
442,0.82936794
